#爱情与金钱
cambridge  [ˈkembrɪdʒ]	剑桥（英国城市）
cigarette  [sɪgə'ret]	香烟；纸烟
run across	跑着穿过
tablet	['tæblɪt]	 碑；药片；写字板；小块；平板电脑

Albert ['ælbət] 艾伯特（男子名）
at once	马上，立刻
Roger	 ['rɒdʒə]  罗杰（男子名）
across	[ə'krɒs]	穿过；横穿，横过；在对面
Annie	[ænɪ]	安妮（女子名）
Jackie	['dʒæki]	杰基（人名）
Diane	 [dai'æn]	黛安（等于Diana，女子名）
teeth	[tiːθ]	牙齿
walk across	步行穿过
Molly	['mɒlɪ]	莫利（女子名）

get out	离开，出去；泄露；出版
quietly	[ˈkwaɪətli]	安静地
go across	穿过，横过；走过
Clarkson	克拉克森（男子名）
just then	就在那时
bottle	['bɑtl]	瓶子
detective	[dɪ'tektɪv]	侦探
inspector	[ɪn'spektə]	 检查员；巡视员
Walsh	 [wɔ:lʃ]	 沃尔什（姓氏）
sergeant	['sɑːdʒ(ə)nt]	军士；警察小队长
along	[ə'lɒŋ]	一起；向前；来到；	沿着；顺着
learn	[lɜːn]	得知；认识到
move  [muːv]	移动；搬家


#苏格兰玛丽女王
Mary  [ˈmɛərɪ]	 玛丽（女子名）
castle  ['kɑːs(ə)l]	城堡
Queen	[kwin]		女王
Scots	[skɑts]	苏格兰的
Elizabeth	[ɪ'lɪzəbəθ] 伊丽莎白（女子名）
come along		出现；一起来；陪伴；进步
prison	['prɪz(ə)n]	监狱
majesty	['mædʒɪstɪ]	最高权威，王权
my majesty 我的陛下
your majesty 陛下
Spain	[spein]	 西班牙
very soon 	很快；马上
lords	 [lɔ:ds] 	议会
protestant	['prɒtɪstənt]	新教徒
catholic	 [kæθəlɪk]	天主教徒
enemy	 ['enəmɪ] 敌人
my lords	大人；阁下（对某些贵族、主教、市长、法官等的尊称）；殿下
Knox	[nɔks]	诺克斯（姓氏）
rule	[ruːl]  统治
come after 紧跟；继……而来
please 使喜欢
earl	 [ɜːl] 伯爵
Leicester	['lestə]	 莱斯特（英国中部城市）
cousin	['kʌzn] 	堂兄弟姊妹；表兄弟姊妹
Henry	['henrɪ]	亨利（男子名）
pregnant	['pregnənt] 	怀孕的
Riccio 	人名；(英、意)里乔
wicked	['wɪkɪd] 邪恶的
scream [skriːm]	尖叫
axe	[æks]	斧

#在月亮的下面
Europe	['jʊrəp] 欧洲
Rilla	(德、意、芬)里拉
break up	打碎，破碎；
captain	 ['kæptɪn]	队长，首领
commander	[kə'mɑːndə]	指挥官；司令官
Gog	(德、罗)戈格
colony	['kɒlənɪ]	殖民地；移民队；
antarctic	 [ænˈtɑ:ktɪk]	南极的；
guard	 [gɑːd]	 守卫；警戒
march	[mɑːtʃ]	前进；行军，进军
run along	离开
planet	['plænɪt]	行星
prisoner	['prɪz(ə)nə]	犯人
Mars	[mɑːz] 火星
soon	 [suːn]	快；不久，一会儿

#潘德尔的巫师
pedlar	 ['pɛdlɚ]	小贩；传播者
Jennet	['dʒenɪt]	(英)詹妮特
witch	[wɪtʃ]	巫婆，女巫
villager	['vɪlɪdʒə]	 乡村居民，村民
Alizon	人名
curse	 [kɜːs]	诅咒
thirtieth	['θɜ:tɪəθ]	第三十
clay	[kleɪ]	粘土；泥土

#歌剧院的精灵
turn to 转向；求助于；致力于；开始行动
ghost    [gəʊst] 鬼，幽灵
passage  ['pæsɪdʒ]  一段（文章）；走廊；通路；通过
pooh     [puː] 呸（轻视之声）
opera    ['ɒp(ə)rə] 歌剧；歌剧院；歌剧团
Joseph   [ˈdʒəuzif] 约瑟夫（男子名）
Meg   梅格
fool    [fuːl]  傻瓜；愚人
doorkeeper   ['dɔːkiːpə] 看门的人
all through     一直
motherly     ['mʌðəlɪ]  母亲的；慈母般的
director    [di'rektə]  主任，主管；
mad [mæd]  疯狂的；发疯的；愚蠢的；着迷的
enemy    ['enəmɪ] 敌人，仇敌
Faust   [faust]  浮士德
cur [kɜː]   杂狗；坏蛋

Philippe    菲力浦（人名）
Phantom ['fæntəm]   幽灵；幻影；虚位
toad    [təʊd]  蟾蜍；癞蛤蟆；讨厌的家伙
mad  [mæd]  疯狂的；发疯的；愚蠢的
whispered   ['wɪspəd] 低声的；

chandelier [,ʃændə'lɪə] 枝形吊灯
stair  [steə]    楼梯，阶梯；梯级
Persian ['pə:ʃən; -ʒən] 波斯人











